Agregat_Budget;Code_Sage;Libelle_SAGE;;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Budget_2024_cloture
;;Dotations Amortissements & Provisions;;-83337.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-1000000.0
;;Total D&A;;-83337.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-83333.0;-1000000.0
;;;;;;;;;;;;;;;;
;;Produits Exceptionnels;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Charges exceptionnelles;6720000T;Charges /exercices antérieurs ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;;Charges Exceptionnelles;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;;Résultat Exceptionnel;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;;Profit avant Impôt sur les Sociétés;;517340.7328333333;124194.73283333331;124194.73283333331;970194.7328333331;77319.73283333331;74319.73283333331;727856.7328333333;29707.732833333313;277255.7328333333;889594.7328333333;290594.7328333333;790590.7328333333;4893164.794
Impôt sur les sociétés;6910000T;IMPOT SUR LES SOCIETE ;;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-1005502.68
;;Impôt sur les sociétés;;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-83791.89;-1005502.68
;;RÉSULTAT NET;;433548.8428333333;40402.842833333314;40402.842833333314;886402.8428333331;-6472.157166666686;-9472.157166666686;644064.8428333333;-54084.157166666686;193463.8428333333;805802.8428333333;206802.8428333333;706798.8428333333;3887662.1139999996
